,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1426131585057792002,1420321829336453123,2021-08-13 10:40:40 UTC,2021-08-13,10:40:40,0,1216607181623050242,karetbetet,Karet Gelang,,"@DivHumas_Polri Yuk, terapkan protokol kesehatan 5M untuk mencegah penularan dan penyebaran virus corona di Indonesia. Selain itu, jangan pula lupa untuk selalu meningkatkan sistem kekebalan tubuh agar terhindar dari infeksi COVID-19. Yuk Indonesia Bisa Indonesia Sehat.",in,[],[],[],0,0,0,[],[],https://twitter.com/KaretBetet/status/1426131585057792002,False,,0,,,,,,,,"[{'screen_name': 'DivHumas_Polri', 'name': 'Divisi Humas Polri', 'id': '138290629'}]",,,,
1,1425428077400629250,1403615391239131140,2021-08-11 12:05:11 UTC,2021-08-11,12:05:11,0,1216607181623050242,karetbetet,Karet Gelang,,"@DivHumas_Polri Vaksinasi Covid-19 dapat merangsang sistem kekebalan tubuh hingga mengurangi resiko terjadinya penularan virus Covid-19. Laksanakan vaksinasi untuk mencegah gejala berat ketika terpapar virus Covid-19, sehingga bila terpapar tubuh kita sudah punya tameng untuk melawan virusnya.",in,[],[],[],0,0,0,[],[],https://twitter.com/KaretBetet/status/1425428077400629250,False,,0,,,,,,,,"[{'screen_name': 'DivHumas_Polri', 'name': 'Divisi Humas Polri', 'id': '138290629'}]",,,,
2,1425001122746408964,1425001122746408964,2021-08-10 07:48:37 UTC,2021-08-10,07:48:37,0,1232487854544060417,polresbutur,PolresButur,,Ayo Vaksin ! Vaksinasi Covid-19                         dapat merangsang sistem kekebalan tubuh hingga mengurangi resiko terjadinya penularan virus Covid-19.  #VaksinasiMelawanPandemi #CegahLajunyaPandemi #DisiplinPatuhiProkes #KapolresButur #PolresButur #PolisiButur #BeritaButur  https://t.co/VH8W1T8X4I,in,[],[],['https://pbs.twimg.com/media/E8ae9mUVgAADgLY.jpg'],0,0,0,"['vaksinasimelawanpandemi', 'cegahlajunyapandemi', 'disiplinpatuhiprokes', 'kapolresbutur', 'polresbutur', 'polisibutur', 'beritabutur']",[],https://twitter.com/PolresButur/status/1425001122746408964,False,,1,https://pbs.twimg.com/media/E8ae9mUVgAADgLY.jpg,,,,,,,[],,,,
3,1424612700781383687,1424612700781383687,2021-08-09 06:05:10 UTC,2021-08-09,06:05:10,0,1282636721570508800,infokomjaksel,Infokom Banser JakSel,,"Senin 09 Agustus 2021, Dalam rangka memperkuat kekebalan tubuh atau imun terhadap penularan Virus Corona Covid-19, @poldametrojaya melaksanakan Vaksinasi Covid-19 bertempat di SMP Negeri 73 Tebet Timur, Kecamatan Tebet Jakarta selatan.  https://t.co/5IyYnf3saz",in,"[{'screen_name': 'poldametrojaya', 'name': 'polda metro jaya', 'id': '104025363'}]",[],"['https://pbs.twimg.com/media/E8U9qFxUUAU2MdH.jpg', 'https://pbs.twimg.com/media/E8U9q0UVoAEwUml.jpg', 'https://pbs.twimg.com/media/E8U9rkeVoAE26K4.jpg', 'https://pbs.twimg.com/media/E8U9sXKUUAcZPIF.jpg']",1,6,7,[],[],https://twitter.com/InfokomJakSel/status/1424612700781383687,False,,1,https://pbs.twimg.com/media/E8U9qFxUUAU2MdH.jpg,,,,,,,[],,,,
4,1424608542191874053,1424608542191874053,2021-08-09 05:48:39 UTC,2021-08-09,05:48:39,0,1384992068456439811,nayangasa,Nayangasa,,"Vaksinasi adlh cara kita utk menekan angka penularan covid 19, agar kekebalan tubuh kita tetap terjaga , hayuk vaksin gaes #SudahDivaksinDong Percepatan Vaksinasi  https://t.co/zac1UW8gUA",in,[],[],['https://pbs.twimg.com/media/E8U56AJVoAILfUR.jpg'],0,0,0,['sudahdivaksindong'],[],https://twitter.com/nayangasa/status/1424608542191874053,False,,1,https://pbs.twimg.com/media/E8U56AJVoAILfUR.jpg,,,,,,,[],,,,
5,1424602129965084672,1424602129965084672,2021-08-09 05:23:10 UTC,2021-08-09,05:23:10,0,1389831385121054722,punrum1,Punrum,,"Vaksinasi adalah cara kita untuk menekan angka penularan covid 19, agar kekebalan tubuh kita tetap terjaga , cepat pulih Indonesia #SudahDivaksinDong Percepatan Vaksinasi  https://t.co/58V3M1l26r",in,[],[],['https://pbs.twimg.com/media/E8U0FiCVIAMHQ0m.jpg'],0,0,0,['sudahdivaksindong'],[],https://twitter.com/Punrum1/status/1424602129965084672,False,,1,https://pbs.twimg.com/media/E8U0FiCVIAMHQ0m.jpg,,,,,,,[],,,,
6,1424596676929458185,1424596676929458185,2021-08-09 05:01:30 UTC,2021-08-09,05:01:30,0,1402434673763094530,isuhe77,Ihsan,,"Vaksinasi adalah cara kita untuk menekan angka penularan covid 19, agar kekebalan tubuh kita tetap terjaga , mari dukung vaksinasi #SudahDivaksinDong  https://t.co/VnQbD1OFED",in,[],[],['https://pbs.twimg.com/media/E8UvH9FUcAIK7DF.jpg'],0,0,0,['sudahdivaksindong'],[],https://twitter.com/ISuhe77/status/1424596676929458185,False,,1,https://pbs.twimg.com/media/E8UvH9FUcAIK7DF.jpg,,,,,,,[],,,,
7,1423673089141841923,1423673089141841923,2021-08-06 15:51:29 UTC,2021-08-06,15:51:29,0,1414580547737710593,humasjatirogo,HUMAS JATIROGO,,"Ditengah Pandemi Covid-19, Yuk sobat Polri laksanakan vaksinasi untuk meningkatkan imunitas dan kekebalan tubuh dari penularan Covid-19.  #VaksinTingkatkanImunitas #JawaTimurBangkit  https://t.co/FSxhB5LqB4",in,[],[],['https://pbs.twimg.com/media/E8HnHoxVUAAWmN6.jpg'],0,0,2,"['vaksintingkatkanimunitas', 'jawatimurbangkit']",[],https://twitter.com/HumasJatirogo/status/1423673089141841923,False,,1,https://pbs.twimg.com/media/E8HnHoxVUAAWmN6.jpg,,,,,,,[],,,,
8,1423540315659505668,1402101056469831680,2021-08-06 07:03:54 UTC,2021-08-06,07:03:54,0,1216607181623050242,karetbetet,Karet Gelang,,"@DivHumas_Polri Vaksinasi Covid-19 dapat merangsang sistem kekebalan tubuh hingga mengurangi resiko terjadinya penularan virus Covid-19. Laksanakan vaksinasi untuk mencegah gejala berat ketika terpapar virus Covid-19, sehingga bila terpapar tubuh kita sudah punya tameng untuk melawan virusnya.",in,[],[],[],0,0,0,[],[],https://twitter.com/KaretBetet/status/1423540315659505668,False,,0,,,,,,,,"[{'screen_name': 'DivHumas_Polri', 'name': 'Divisi Humas Polri', 'id': '138290629'}]",,,,
9,1423527065010118661,1423510260120100865,2021-08-06 06:11:14 UTC,2021-08-06,06:11:14,0,1414580547737710593,humasjatirogo,HUMAS JATIROGO,,@humas_restuban Mari lakukan vaksinasi demi mewujudkan Herd Immunity serta menjaga kekebalan tubuh dari penularan Covid-19. #PolriPrioritaskanKesehatan Langkah Menekan Pandemi,in,[],[],[],0,0,0,['polriprioritaskankesehatan'],[],https://twitter.com/HumasJatirogo/status/1423527065010118661,False,,0,,,,,,,,"[{'screen_name': 'humas_restuban', 'name': 'Humas Polres Tuban', 'id': '1249964618165805056'}]",,,,
10,1423526866124562436,1423508470922244098,2021-08-06 06:10:27 UTC,2021-08-06,06:10:27,0,1414580547737710593,humasjatirogo,HUMAS JATIROGO,,@humas_restuban Mari lakukan vaksinasi demi mewujudkan Herd Immunity serta menjaga kekebalan tubuh dari penularan Covid-19. #PolriPrioritaskanKesehatan Langkah Menekan Pandemi,in,[],[],[],0,0,0,['polriprioritaskankesehatan'],[],https://twitter.com/HumasJatirogo/status/1423526866124562436,False,,0,,,,,,,,"[{'screen_name': 'humas_restuban', 'name': 'Humas Polres Tuban', 'id': '1249964618165805056'}]",,,,
